epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1425.04,0.7412,0.34587,0.9589,0.99866,1,0.995,0.84117,0.72794,0.31947,0.92363,0.00102345,0.00102345,0.00102345
45,1462.98,0.75356,0.35422,0.97063,0.99736,1,0.995,0.83735,0.72506,0.30918,0.92242,0.00101402,0.00101402,0.00101402
46,1500.58,0.74042,0.34917,0.96226,0.99904,1,0.995,0.84019,0.72454,0.31547,0.92462,0.00100459,0.00100459,0.00100459
47,1548.86,0.73333,0.3457,0.96154,0.99948,1,0.995,0.83573,0.72414,0.31299,0.91462,0.000995156,0.000995156,0.000995156
48,1587.18,0.73708,0.34922,0.95693,0.99899,1,0.995,0.84069,0.71864,0.30868,0.91056,0.000985724,0.000985724,0.000985724
49,1611.2,0.74982,0.34768,0.96003,0.99933,1,0.995,0.83963,0.7234,0.31065,0.91359,0.000976293,0.000976293,0.000976293
50,1635.1,0.73543,0.34717,0.96416,0.99907,1,0.995,0.84349,0.71323,0.30406,0.91155,0.000966861,0.000966861,0.000966861
51,1659.31,0.73027,0.34166,0.95423,0.99958,0.99972,0.995,0.84337,0.72276,0.30481,0.9045,0.00095743,0.00095743,0.00095743
52,1683.16,0.73282,0.34099,0.95178,0.99963,1,0.995,0.84672,0.70806,0.30668,0.89829,0.000947999,0.000947999,0.000947999
53,1707.24,0.72147,0.33986,0.95149,0.9992,1,0.995,0.84052,0.72143,0.30447,0.91205,0.000938567,0.000938567,0.000938567
54,1731.56,0.73512,0.34128,0.9593,0.99924,1,0.995,0.84791,0.71721,0.30575,0.91369,0.000929136,0.000929136,0.000929136
55,1756.03,0.73248,0.33994,0.9566,0.99933,1,0.995,0.8487,0.70763,0.29629,0.89817,0.000919704,0.000919704,0.000919704
56,1779.99,0.72583,0.33653,0.94875,0.99935,1,0.995,0.848,0.70605,0.29485,0.89924,0.000910273,0.000910273,0.000910273
57,1804.33,0.73378,0.3406,0.95491,0.99947,1,0.995,0.84828,0.71345,0.30037,0.90677,0.000900842,0.000900842,0.000900842
58,1828.96,0.72638,0.33659,0.95472,0.99908,1,0.995,0.84575,0.70697,0.29857,0.90306,0.00089141,0.00089141,0.00089141
59,1853.12,0.72855,0.33288,0.95134,0.99763,1,0.995,0.84926,0.71345,0.29747,0.91063,0.000881979,0.000881979,0.000881979
60,1877.35,0.72912,0.33459,0.94963,0.99957,1,0.995,0.84493,0.71721,0.30148,0.90929,0.000872547,0.000872547,0.000872547
61,1901.84,0.71855,0.33261,0.94946,0.99932,1,0.995,0.84308,0.70849,0.2938,0.90958,0.000863116,0.000863116,0.000863116
62,1926.28,0.71632,0.33298,0.95243,0.99888,1,0.995,0.84307,0.73193,0.29758,0.91809,0.000853685,0.000853685,0.000853685
63,1950.45,0.71547,0.33019,0.94387,0.99853,1,0.995,0.84826,0.70937,0.28803,0.91223,0.000844253,0.000844253,0.000844253
64,1975.96,0.70945,0.32676,0.94759,0.99908,1,0.995,0.84272,0.72311,0.29017,0.92013,0.000834822,0.000834822,0.000834822
65,2001.53,0.71048,0.33098,0.94948,0.99921,1,0.995,0.84484,0.72272,0.29244,0.91203,0.00082539,0.00082539,0.00082539
66,2027.07,0.71302,0.32772,0.95135,0.99943,1,0.995,0.85299,0.69883,0.28609,0.91087,0.000815959,0.000815959,0.000815959
67,2052.74,0.71982,0.32816,0.95397,0.99944,1,0.995,0.84934,0.72347,0.29123,0.92786,0.000806528,0.000806528,0.000806528
68,2078.23,0.70871,0.32498,0.94356,0.99929,1,0.995,0.85099,0.69679,0.28703,0.90313,0.000797096,0.000797096,0.000797096
69,2108.9,0.71788,0.32654,0.9505,0.99946,1,0.995,0.84581,0.71196,0.29824,0.91081,0.000787665,0.000787665,0.000787665
70,2145.28,0.71225,0.32924,0.95008,0.99916,1,0.995,0.85213,0.70758,0.28693,0.9071,0.000778233,0.000778233,0.000778233
71,2181.92,0.71918,0.32627,0.94725,0.99943,1,0.995,0.85361,0.69814,0.28617,0.90151,0.000768802,0.000768802,0.000768802
72,2218.17,0.71546,0.32435,0.94241,0.99909,1,0.995,0.8526,0.70154,0.28358,0.90503,0.000759371,0.000759371,0.000759371
73,2254.33,0.70334,0.31898,0.94357,0.9996,1,0.995,0.84366,0.72114,0.2872,0.91297,0.000749939,0.000749939,0.000749939
74,2290.4,0.69939,0.31594,0.93961,0.99944,1,0.995,0.8575,0.69556,0.28216,0.90087,0.000740508,0.000740508,0.000740508
75,2329.48,0.70573,0.32064,0.94244,0.99951,1,0.995,0.84879,0.70425,0.28402,0.90204,0.000731076,0.000731076,0.000731076
76,2354.51,0.70498,0.31734,0.94162,0.99906,1,0.995,0.84314,0.70937,0.28172,0.90879,0.000721645,0.000721645,0.000721645
77,2379.46,0.69526,0.31451,0.93689,0.9996,1,0.995,0.84901,0.706,0.28586,0.90996,0.000712214,0.000712214,0.000712214
78,2404.55,0.70087,0.31362,0.94142,0.99939,1,0.995,0.8458,0.70913,0.27644,0.90849,0.000702782,0.000702782,0.000702782
