epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,155.668,0.93302,0.54612,0.97008,0.99815,1,0.995,0.73808,1.08584,0.50148,0.98564,0.0011684,0.0011684,0.0011684
44,159.219,0.96244,0.55571,0.96694,0.99852,1,0.995,0.75226,0.96806,0.48057,0.97402,0.0011486,0.0011486,0.0011486
45,162.797,0.94697,0.53834,0.95796,0.99139,1,0.995,0.74604,1.10209,0.4869,0.98471,0.0011288,0.0011288,0.0011288
46,166.351,0.90123,0.5263,0.94597,1,0.99937,0.995,0.7399,0.98993,0.4969,0.95082,0.001109,0.001109,0.001109
47,169.918,0.93084,0.54606,0.95757,1,0.99955,0.995,0.76145,0.88485,0.47271,0.92511,0.0010892,0.0010892,0.0010892
48,173.495,0.90832,0.53682,0.95379,0.9986,1,0.995,0.75496,0.89474,0.49221,0.92735,0.0010694,0.0010694,0.0010694
49,177.042,0.94797,0.54915,0.97189,0.99452,1,0.995,0.74177,0.89096,0.46494,0.94164,0.0010496,0.0010496,0.0010496
50,180.621,0.89185,0.53055,0.95965,0.99831,1,0.995,0.77427,0.92759,0.47458,0.93082,0.0010298,0.0010298,0.0010298
51,184.118,0.8886,0.5098,0.9494,0.99929,1,0.995,0.75084,1.00194,0.45675,0.96219,0.00101,0.00101,0.00101
52,187.654,0.89796,0.521,0.95105,0.99875,1,0.995,0.76127,0.9314,0.46099,0.934,0.0009902,0.0009902,0.0009902
53,191.188,0.85486,0.52195,0.95278,0.99886,1,0.995,0.75092,0.97835,0.4719,0.93656,0.0009704,0.0009704,0.0009704
54,194.871,0.88133,0.51895,0.94661,0.99873,1,0.995,0.76374,0.97261,0.46762,0.93655,0.0009506,0.0009506,0.0009506
55,198.495,0.82806,0.501,0.93667,0.99901,1,0.995,0.7748,0.96999,0.45571,0.95043,0.0009308,0.0009308,0.0009308
56,202.128,0.88889,0.5365,0.94941,0.99866,1,0.995,0.71315,1.11355,0.48697,0.99198,0.000911,0.000911,0.000911
57,205.696,0.90401,0.52295,0.96015,0.99885,1,0.995,0.75038,0.96964,0.45467,0.97135,0.0008912,0.0008912,0.0008912
58,209.282,0.85755,0.50374,0.96196,0.99922,1,0.995,0.75808,0.9043,0.43239,0.93053,0.0008714,0.0008714,0.0008714
59,212.847,0.86006,0.50442,0.95268,0.99893,1,0.995,0.7757,0.90022,0.43974,0.93252,0.0008516,0.0008516,0.0008516
60,216.416,0.84501,0.47834,0.93378,0.99863,1,0.995,0.75219,0.91854,0.44729,0.94231,0.0008318,0.0008318,0.0008318
61,219.936,0.84475,0.48871,0.93362,0.9985,1,0.995,0.79347,0.92353,0.42817,0.94621,0.000812,0.000812,0.000812
62,223.477,0.84058,0.4829,0.94269,0.99855,1,0.995,0.7656,0.91514,0.45594,0.95266,0.0007922,0.0007922,0.0007922
63,227.012,0.85689,0.49815,0.93446,0.99798,1,0.995,0.75885,0.93646,0.47471,0.95165,0.0007724,0.0007724,0.0007724
64,230.541,0.87224,0.50541,0.9507,0.99852,1,0.995,0.75003,0.89788,0.43883,0.94528,0.0007526,0.0007526,0.0007526
65,234.091,0.84851,0.48777,0.94316,0.99797,1,0.995,0.76063,0.84868,0.45608,0.92886,0.0007328,0.0007328,0.0007328
66,237.714,0.8269,0.49192,0.96647,0.99858,1,0.995,0.75077,0.91152,0.48863,0.93581,0.000713,0.000713,0.000713
67,241.217,0.82244,0.47806,0.93067,0.99852,1,0.995,0.78965,0.86787,0.43035,0.93352,0.0006932,0.0006932,0.0006932
68,244.757,0.7804,0.46276,0.92073,0.99882,1,0.995,0.76685,0.91238,0.45177,0.94427,0.0006734,0.0006734,0.0006734
69,248.309,0.8124,0.47298,0.91692,0.99874,1,0.995,0.78466,0.85102,0.44507,0.92676,0.0006536,0.0006536,0.0006536
70,252.115,0.84174,0.47743,0.93525,0.99889,1,0.995,0.7563,0.94907,0.44416,0.94165,0.0006338,0.0006338,0.0006338
71,255.678,0.80263,0.45722,0.91472,0.99902,1,0.995,0.77036,0.89779,0.42555,0.9357,0.000614,0.000614,0.000614
72,259.252,0.81839,0.46029,0.91853,0.99891,1,0.995,0.76289,0.9178,0.41975,0.93766,0.0005942,0.0005942,0.0005942
73,262.799,0.79371,0.4656,0.92105,0.99899,1,0.995,0.77392,0.9055,0.41776,0.92823,0.0005744,0.0005744,0.0005744
74,266.415,0.83839,0.47706,0.93133,0.99892,1,0.995,0.77725,0.88164,0.4125,0.93345,0.0005546,0.0005546,0.0005546
75,270.009,0.80345,0.4611,0.91678,0.99928,1,0.995,0.77419,0.8606,0.42883,0.9291,0.0005348,0.0005348,0.0005348
76,273.563,0.82304,0.46908,0.92602,0.99923,1,0.995,0.78247,0.86494,0.42097,0.92881,0.000515,0.000515,0.000515
77,277.142,0.80107,0.47064,0.93323,0.99877,1,0.995,0.77896,0.97455,0.45455,0.9481,0.0004952,0.0004952,0.0004952
78,280.761,0.78779,0.44872,0.91783,0.99895,1,0.995,0.77274,0.90215,0.42361,0.927,0.0004754,0.0004754,0.0004754
79,284.274,0.8159,0.45151,0.92789,0.99895,1,0.995,0.77328,0.88579,0.43915,0.92575,0.0004556,0.0004556,0.0004556
80,287.834,0.83131,0.46667,0.92652,0.99897,1,0.995,0.77354,0.86301,0.41862,0.92261,0.0004358,0.0004358,0.0004358
81,291.384,0.77993,0.44836,0.91092,0.99901,1,0.995,0.78416,0.84514,0.40956,0.92679,0.000416,0.000416,0.000416
82,295.01,0.79457,0.447,0.92819,0.99911,1,0.995,0.78253,0.85968,0.39271,0.92704,0.0003962,0.0003962,0.0003962
83,298.77,0.78461,0.45162,0.92303,0.99893,1,0.995,0.77655,0.86224,0.37975,0.92604,0.0003764,0.0003764,0.0003764
84,302.431,0.76504,0.44843,0.92274,0.999,1,0.995,0.77836,0.89803,0.38953,0.93237,0.0003566,0.0003566,0.0003566
85,305.952,0.76524,0.4552,0.91876,0.99892,1,0.995,0.78495,0.90242,0.39017,0.93552,0.0003368,0.0003368,0.0003368
86,309.493,0.74525,0.42435,0.91042,0.99874,1,0.995,0.78683,0.86148,0.38061,0.92618,0.000317,0.000317,0.000317
87,313.023,0.74905,0.4215,0.90877,0.99888,1,0.995,0.78449,0.8454,0.39808,0.92393,0.0002972,0.0002972,0.0002972
88,316.549,0.73122,0.41072,0.90352,0.99896,1,0.995,0.79906,0.83508,0.37848,0.91968,0.0002774,0.0002774,0.0002774
89,320.117,0.74037,0.428,0.91667,0.99906,1,0.995,0.7849,0.82982,0.38894,0.92046,0.0002576,0.0002576,0.0002576
90,323.723,0.75135,0.4244,0.91273,0.99892,1,0.995,0.80489,0.8524,0.40225,0.92033,0.0002378,0.0002378,0.0002378
91,355.795,0.73482,0.38733,0.87852,0.999,1,0.995,0.79359,0.87278,0.39035,0.91882,0.000218,0.000218,0.000218
92,359.444,0.70593,0.36651,0.87314,0.99912,1,0.995,0.78016,0.83685,0.38507,0.91646,0.0001982,0.0001982,0.0001982
93,363.076,0.70998,0.36549,0.88102,0.99899,1,0.995,0.78853,0.81164,0.38628,0.91757,0.0001784,0.0001784,0.0001784
94,366.706,0.69796,0.35516,0.84955,0.99902,1,0.995,0.79357,0.82702,0.38597,0.92037,0.0001586,0.0001586,0.0001586
95,370.214,0.68668,0.35683,0.87259,0.99904,1,0.995,0.78562,0.85055,0.38025,0.92421,0.0001388,0.0001388,0.0001388
96,373.75,0.68068,0.3468,0.85756,0.99906,1,0.995,0.78439,0.8609,0.38556,0.92466,0.000119,0.000119,0.000119
97,377.353,0.65326,0.34624,0.84978,0.99907,1,0.995,0.78625,0.85777,0.38336,0.92265,9.92e-05,9.92e-05,9.92e-05
98,380.916,0.67606,0.34285,0.86158,0.99908,1,0.995,0.78942,0.86657,0.38855,0.92182,7.94e-05,7.94e-05,7.94e-05
99,384.475,0.66782,0.34572,0.8649,0.99911,1,0.995,0.78596,0.85811,0.38333,0.92279,5.96e-05,5.96e-05,5.96e-05
100,388.065,0.6706,0.34462,0.86815,0.99906,1,0.995,0.7868,0.85351,0.38857,0.92159,3.98e-05,3.98e-05,3.98e-05
